division,category,Matrisome Class / Protein Family,geneid,FlyBase Link,Gene Name,UniProt ID,UniProt Protein Name,InterPro Domains,Gene Ontology _Cellular component,Gene Ontology_Biological process,Human Orthologs,Other Gene Names,combined_orthology,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0037114,FBgn0037114,Cpr78E,Q9VP00,Cuticular protein 78E (GEO09075p1) (LP06027p),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Cpr78E BcDNA:LP06027 Cpi78E Dmel\CG7160 DmelCpr78E CG7160 Dmel_CG7160,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0038714,FBgn0038714,Cpr92A,Q4V480,Cuticular protein 92A (IP08564p) (IP08764p),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Cpr92A CG6240 Dmel_CG6240,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0000551,FBgn0000551,Edg78E,P27779;X2JGZ5,Pupal cuticle protein Edg-78E,IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Edg78E EDG-78E CG7673,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0000552,FBgn0000552,Edg84A,P27780,Pupal cuticle protein Edg-84A,IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Edg84A EDG-84A CG2345,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0002531,FBgn0002531,Lcp1,A0A0B4KF10;P02839,Larval cuticle protein 1 (Larval cuticle protein I),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003]; larval chitin-based cuticle development [GO:0008363],,Lcp1 CG11650,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0002533,FBgn0002533,Lcp2,A0A0B4KEG7;P07187,Larval cuticle protein 2 (Larval cuticle protein II),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003]; larval chitin-based cuticle development [GO:0008363],,Lcp2 CG8697,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0002534,FBgn0002534,Lcp3,A0A0B4KEF3;P07188,Larval cuticle protein 3 (Larval cuticle protein III),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003]; larval chitin-based cuticle development [GO:0008363],,Lcp3 CG2043,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0002535,FBgn0002535,Lcp4,A0A0B4KEM6;P07189,Larval cuticle protein 4 (Larval cuticle protein IV),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Lcp4 CG2044,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0020645,FBgn0020645,Lcp65Aa,P91940,Cuticle protein LCP65Aa (Lcp65Aa) (RT02902p),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Lcp65Aa DCP4 Dmel\CG7287 DmelLCp65Aa DMLCP65a Lcp-a LCP65Aa Lcp65Aa-RA CG7287 Dmel_CG7287,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0020642,FBgn0020642,Lcp65Ac,P92181,Cuticle protein DCP2 (Cuticle protein LCP65Ac) (GEO07648p1) (Lcp65Ac) (RE33063p),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Lcp65Ac DCP2 Dmel\CG6956 DMLCP65c Lcp-c LCP65Ac CG6956 Dmel_CG6956,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0020641,FBgn0020641,Lcp65Ad,P91939;Q8IGZ8,"Cuticle protein LCP65Ad (GEO09318p1) (Lcp65Ad, isoform A) (Lcp65Ad, isoform B)",IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Lcp65Ad BcDNA:LP05231 DCP1 DMCLP65d Dmel\CG6955 DmelLcp65Ad Lcp-d LCP65Ad CG6955 Dmel_CG6955,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0020640,FBgn0020640,Lcp65Ae,P91942,Cuticle protein LCP65Ae (GEO11775p1) (Lcp65Ae) (RT03322p),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Lcp65Ae DCP6 Dmel\CG10529 DmelLcp65Ae DMLCP65e Lcp-e LCP65Ae Lcp65Ae-RA CG10529 Dmel_CG10529,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0020639,FBgn0020639,Lcp65Af,P92194,Cuticle protein DCP7 (Cuticle protein LCP65Af) (Lcp65Af),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Lcp65Af DCP7 Dmel\CG10533 DmelLcp65Af DMLCP65f Lcp-f LCP65Af CG10533 Dmel_CG10533,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0020638,FBgn0020638,Lcp65Ag1,C0HL64,Larval cuticle protein 65Ag1 (Larval cuticle protein 8),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Lcp-g1 Lcp8,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0020637,FBgn0020637,Lcp65Ag2,C0HL65;Q8IGZ1,Larval cuticle protein 65Ag2 (Larval cuticle protein 8),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Lcp-g2 Lcp8,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0086611,FBgn0086611,Lcp65Ag3,Q9I7Q6,FI01403p (Larval cuticle protein),IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Lcp65Ag3 Dmel\CG18779 DmelLcp65Ag3 g3 Lcp-g3 CG18779 Dmel_CG18779,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0025578,FBgn0025578,Lcp9,P82384,Larval cuticle protein 9 (Larval cuticle protein IX),IPR031311;IPR000618,extracellular matrix [GO:0031012]; extracellular region [GO:0005576],chitin-based cuticle development [GO:0040003]; larval chitin-based cuticle development [GO:0008363],,Lcp9 CG16914,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0003046,FBgn0003046,Pcp,P14484,Pupal cuticle protein,IPR031311;IPR000618,extracellular matrix [GO:0031012],chitin-based cuticle development [GO:0040003],,Pcp CG3440,0,,
Drosophila Matrisome Genes,Apical Matrix,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0034157,FBgn0034157,resilin,Q9V7U0,Pro-resilin,IPR031311;IPR000618,extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; protein-carbohydrate complex [GO:0032992],chitin-based cuticle development [GO:0040003],,resilin CG15920,0,,
Drosophila Matrisome Genes,Apical Matrix,R&R Chitin-binding-domain-containing Proteins,FBgn0259713,FBgn0259713,CG42367,R9PY51,Uncharacterized protein,IPR031311;IPR000618,,,,Dmel\CG42367 CG31878 CG42367 CG4588 Dmel_CG42367,0,,
Drosophila Matrisome Genes,Apical Matrix,R&R Chitin-binding-domain-containing Proteins,FBgn0005664,FBgn0005664,Crys,O96967;Q9VKE2,"Crystallin, isoform A (Crystallin, isoform B) (RH66281p)",IPR031311;IPR000618,extracellular matrix [GO:0031012]; extracellular region [GO:0005576],compound eye corneal lens development [GO:0048058]; visual perception [GO:0007601],,Crys c Cry dcy Dmel\CG16963 DmelCry CG16963 Dmel_CG16963,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0053258,FBgn0053258,BP1001,Q2PDZ1,"Uncharacterized protein, isoform B (Uncharacterized protein, isoform C)",IPR002557,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,BP1001 CR33258 Dmel\CG33258 CG33258 Dmel_CG33258,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036363,FBgn0036363,CG10140,Q9VU74,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],MATN2,Dmel\CG10140 CG10140 Dmel_CG10140,MATN2,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036361,FBgn0036361,CG10154,Q8SX42;Q9VU72,"Uncharacterized protein, isoform A (Uncharacterized protein, isoform B)",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG10154 CG10154 Dmel_CG10154,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036362,FBgn0036362,CG10725,Q6AWL7;Q8IQJ4;Q8SY30,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG10725 CG10725 Dmel_CG10725,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036230,FBgn0036230,CG11570,Q9VTR5,"Uncharacterized protein, isoform A (Uncharacterized protein, isoform B)",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG11570 mlncRNA68E3 CG11570 Dmel_CG11570,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0035430,FBgn0035430,CG12009,M9NDG5;Q9VZR6,"Uncharacterized protein, isoform B",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG12009 CG12009 Dmel_CG12009,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036563,FBgn0036563,CG13075,Q9VUX8,IP10546p,IPR002557,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG13075 CG13075 Dmel_CG13075,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0035932,FBgn0035932,CG13308,Q2XY80;Q9VSQ6,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG13308 CG13308 Dmel_CG13308,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0035933,FBgn0035933,CG13309,Q4V5S4;Q4V5Y8;Q9VSQ7,IP06749p (Fragment),IPR002557;IPR036508,extracellular region [GO:0005576]; extracellular space [GO:0005615],chitin metabolic process [GO:0006030]; multicellular organism reproduction [GO:0032504],,CG13309,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0035931,FBgn0035931,CG13312,Q9VSQ5,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG13312 CG13312 Dmel_CG13312,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0040601,FBgn0040601,CG13643,A0A0B4KHG9;A0A0B4KI11;Q9VC14,"Uncharacterized protein, isoform E",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG13643 CG13643 Dmel_CG13643,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0035845,FBgn0035845,CG13675,M9PEI0;Q9VSE5,"Uncharacterized protein, isoform D",IPR002557;IPR036508,extracellular region [GO:0005576]; integral component of membrane [GO:0016021],chitin metabolic process [GO:0006030],,Dmel\CG13675 CG13675 Dmel_CG13675,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0035844,FBgn0035844,CG13676,M9PEQ6;Q8SX53;Q9VSE3,"Uncharacterized protein, isoform B",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG13676 CG13676 Dmel_CG13676,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0035325,FBgn0035325,CG13806,Q8SXL5,RE09177p,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG13806 CG13806 Dmel_CG13806,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0039042,FBgn0039042,CG13837,Q9VCS0,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG13837 CG13837 Dmel_CG13837,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036232,FBgn0036232,CG14125,M9PFC1;Q9VTR7,"Uncharacterized protein, isoform B",IPR006970;IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG14125 CG14125 Dmel_CG14125,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0040607,FBgn0040607,CG14244,Q9VBC3,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG14244 CG14244 Dmel_CG14244,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0039452,FBgn0039452,CG14245,Q9VBC2,"MIP04604p (MIP04705p) (Uncharacterized protein, isoform A) (Uncharacterized protein, isoform B)",IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG14246-RA CG14245 Dmel_CG14245,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0039454,FBgn0039454,CG14247,Q4V5R2,FI06442p (IP06579p) (IP06779p),IPR002557,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG14247-RA CG14247 Dmel_CG14247,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0038643,FBgn0038643,CG14300,Q59DW1,GEO11304p1,IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG14300 CG14300 Dmel_CG14300,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0038632,FBgn0038632,CG14301,Q9VE56,FI17806p1,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG14301-RB CG14301 Dmel_CG14301,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0038629,FBgn0038629,CG14304,D0IQF4;Q9VE59,"MIP13644p (MIP13744p) (Uncharacterized protein, isoform C)",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG14304-RB CG14304 Dmel_CG14304,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0037488,FBgn0037488,CG14607,Q9VI81,FI18455p1,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG14607-RB CG14607 Dmel_CG14607,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0040687,FBgn0040687,CG14645,Q9VN06,TA01180p,IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG14645 CG14645 Dmel_CG14645,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0038422,FBgn0038422,CG14880,Q9VEW1,"RE15157p (Uncharacterized protein, isoform A) (Uncharacterized protein, isoform B)",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG14880 CG14880 Dmel_CG14880,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0035412,FBgn0035412,CG14957,Q9VZT6,CG14957 protein (GEO10189p1) (IP03589p),IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG14957 CG14957 Dmel_CG14957,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036953,FBgn0036953,CG17145,Q8SZ02;Q9VW95,"FI03257p (Uncharacterized protein, isoform A) (Uncharacterized protein, isoform B)",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],MATN2,Dmel\CG17145 CG17145-RA CG17145 Dmel_CG17145,MATN2,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0260393,FBgn0260393,CG17147,F3YDE1,MIP30263p,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG17147-RA Dmel\CG17147 CG17147 Dmel_CG17147,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036227,FBgn0036227,CG17826,Q9VTR2,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],MATN2,Dmel\CG17826 CG17826 Dmel_CG17826,MATN2,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0051077,FBgn0051077,CG31077,Q8IMQ3,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],MATN2,CG31077 Dmel_CG31077,MATN2,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0052024,FBgn0052024,CG32024,Q8IQB0,FI06432p,IPR002557,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG32024 CG32024-RA CG32024 Dmel_CG32024,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0052036,FBgn0052036,CG32036,Q9VT02,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG32036 CG32036 CG3426 Dmel_CG32036,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0052284,FBgn0052284,CG32284,Q8MS92,GEO09054p1 (LP03531p),IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,BcDNA:LP03531 Dmel\CG32284 CG32284 Dmel_CG32284,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0052302,FBgn0052302,CG32302,Q5U169;Q8SZW2;Q9W030,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG32302 CG13805 CG32302 Dmel_CG32302,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0053263,FBgn0053263,CG33263,Q7KUJ0,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG33263 CG14106 CG33263 Dmel_CG33263,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0040609,FBgn0040609,CG3348,Q9VB45,"CG3348, isoform A (CG3348, isoform B) (GEO07187p1) (GH23384p) (LP15764p)",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG3348 CG3348 Dmel_CG3348,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0053985,FBgn0053985,CG33985,Q2PDY7,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG7973 CG17014 Dmel\CG33985 FBgn0036507 CG33985 Dmel_CG33985,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0053986,FBgn0053986,CG33986,Q2PDY8,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,FBgn0036507 Dmel\CG33986 CG17014 CG33986 CG7973 Dmel_CG33986,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0085249,FBgn0085249,CG34220,A8DY89,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG34220 CG34220 Dmel_CG34220,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0085311,FBgn0085311,CG34282,Q9VE43,"Uncharacterized protein, isoform A (Uncharacterized protein, isoform B)",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG34282 CG34282 Dmel_CG34282,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0085353,FBgn0085353,CG34324,Q9VYC9,FI16963p1,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG34324-RA CG12726 CG34324 Dmel_CG34324,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0085455,FBgn0085455,CG34426,A8JNN8,Uncharacterized protein,IPR002557,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG34426 CG13307 CG34426 Dmel_CG34426,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0085456,FBgn0085456,CG34427,A8JNN9,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG34427 CG13307 CG34427 Dmel_CG34427,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0259192,FBgn0259192,CG42296,Q9VQ68,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin catabolic process [GO:0006032],,Dmel\CG42296 CG15378 CG42296 Dmel_CG42296,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0259748,FBgn0259748,CG42397,Q6ILC6,HDC09735,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG42397 CG42397 Dmel_CG42397 HDC09735,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0260026,FBgn0260026,CG42494,E1JIB5,"Uncharacterized protein, isoform A (Uncharacterized protein, isoform B) (Uncharacterized protein, isoform C)",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG42494 CG42494 Dmel_CG42494,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0260430,FBgn0260430,CG42525,E1JIC1;M9PH57,"Uncharacterized protein, isoform A",IPR009030;IPR002557,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG42525 CG42525 Dmel_CG42525,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0261681,FBgn0261681,CG42728,F3YDE6,GEO02292p1 (MIP14317p),IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG42728-RA Dmel\CG42728 CG17014 CG33984 CG42728 CG7973 Dmel_CG42728,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0261682,FBgn0261682,CG42729,Q2PDY6,MIP32234p1,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG42729 CG42729-RA CG17014 CG33984 CG42729 CG7973 Dmel_CG42729,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0262854,FBgn0262854,CG43218,C6SUT0,MIP12702p,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG43218 MB8.chr3L.pasa.58 CG43218 Dmel_CG43218,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0262986,FBgn0262986,CG43294,M9NE84,"Uncharacterized protein, isoform A (Uncharacterized protein, isoform B)",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG43294 CG43294 Dmel_CG43294,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0263748,FBgn0263748,CG43673,M9PEP7,Uncharacterized protein,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG43673 CG43673 Dmel_CG43673,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0264488,FBgn0264488,CG43896,M9PF73;Q8SYK2;Q9VTR8,"Uncharacterized protein, isoform B",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG43896 CG17824 CG43896 CG6947 Dmel_CG43896,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0035607,FBgn0035607,CG4835,Q9VRL7,CG4835,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,Dmel\CG4835 CG4835 Dmel_CG4835,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0034301,FBgn0034301,CG5756,A1ZB32;Q8SXJ4,"CG5756, isoform C",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG5756 CG5756 Dmel_CG5756,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036225,FBgn0036225,CG5883,Q8SZ52;Q9VTR0,CG5883,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],MATN2,Dmel\CG5883 CG5883 Dmel_CG5883,MATN2,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036220,FBgn0036220,CG5897,E1JHY5,CG5897,IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],MATN2,Dmel\CG5897 CG5897 Dmel_CG5897,MATN2,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0039453,FBgn0039453,CG6403,Q8SZ55;Q9VBC0,"CG6403, isoform A (CG6403, isoform B)",IPR002557,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],,CG6403 CG6403 Dmel_CG6403,0,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036952,FBgn0036952,CG6933,Q8IQV7;Q8MR04;Q9VW94,"CG6933, isoform B (CG6933, isoform E) (LP02978p)",IPR002557;IPR036508,extracellular region [GO:0005576],chitin metabolic process [GO:0006030],MATN2,Dmel\CG6933 CG6933 Dmel_CG6933,MATN2,,
Drosophila Matrisome Genes,Apical Matrix,Chitin-binding-domain-containing Proteins,FBgn0036950,FBgn0036950,CG6996,Q9VW92,"CG6996, isoform B (CG6996, isoform C) (LP20964p)",IPR002557;IPR036508,extracellular region [GO:0005576]; integral component of membrane [GO:0016021],chitin metabolic process [GO:0006030],MATN2,Dmel\CG6996 CG6996 Dmel_CG6996,MATN2,,
